[warm-5] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=3 loadHTMLStart=3 htmlFetchStart=3 htmlFetchEnd=1061 loadHTMLString=1061 navStart=1067 navFinish=1098 jsReadyCheck=1111 initMessage=1182 | JS(from t0) fcp=1227 lcp=1227 lastImageEnd=1187 lastResourceEnd=1187 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=48096 byendpointDur=0 byendpointEnd=32 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[warm-6] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=0 loadHTMLStart=0 htmlFetchStart=0 htmlFetchEnd=50 loadHTMLString=50 navStart=265 navFinish=301 jsReadyCheck=304 initMessage=416 | JS(from t0) fcp=485 lcp=502 lastImageEnd=421 lastResourceEnd=421 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=52276 byendpointDur=1 byendpointEnd=40 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[warm-6] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=4 loadHTMLStart=5 htmlFetchStart=5 htmlFetchEnd=46 loadHTMLString=46 navStart=49 navFinish=140 jsReadyCheck=142 initMessage=234 | JS(from t0) fcp=278 lcp=278 lastImageEnd=238 lastResourceEnd=238 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=68805 byendpointDur=0 byendpointEnd=93 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-1] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=49 loadHTMLStart=50 htmlFetchStart=50 htmlFetchEnd=97 loadHTMLString=97 navStart=728 navFinish=1428 jsReadyCheck=1428 initMessage=1511 | JS(from t0) fcp=1562 lcp=1629 lastImageEnd=2964 lastResourceEnd=2964 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=48 byendpointEnd=687 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-1] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=12 loadHTMLStart=12 htmlFetchStart=12 htmlFetchEnd=159 loadHTMLString=159 navStart=624 navFinish=1189 jsReadyCheck=1189 initMessage=1274 | JS(from t0) fcp=2269 lcp=2269 lastImageEnd=2288 lastResourceEnd=2288 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=1101 byendpointDur=41 byendpointEnd=552 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-2] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=55 loadHTMLStart=55 htmlFetchStart=56 htmlFetchEnd=98 loadHTMLString=98 navStart=674 navFinish=1299 jsReadyCheck=1299 initMessage=1403 | JS(from t0) fcp=1486 lcp=1553 lastImageEnd=2882 lastResourceEnd=2882 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=42 byendpointEnd=612 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-2] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=11 loadHTMLStart=12 htmlFetchStart=12 htmlFetchEnd=53 loadHTMLString=53 navStart=639 navFinish=1244 jsReadyCheck=1244 initMessage=1325 | JS(from t0) fcp=2215 lcp=2215 lastImageEnd=2313 lastResourceEnd=2313 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=1101 byendpointDur=46 byendpointEnd=593 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-3] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=48 loadHTMLStart=48 htmlFetchStart=49 htmlFetchEnd=95 loadHTMLString=104 navStart=637 navFinish=1211 jsReadyCheck=1212 initMessage=1301 | JS(from t0) fcp=1348 lcp=1437 lastImageEnd=3649 lastResourceEnd=3649 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=44 byendpointEnd=561 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-3] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=11 loadHTMLStart=12 htmlFetchStart=12 htmlFetchEnd=58 loadHTMLString=58 navStart=642 navFinish=1238 jsReadyCheck=1239 initMessage=1315 | JS(from t0) fcp=2495 lcp=2495 lastImageEnd=3070 lastResourceEnd=3070 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=1101 byendpointDur=43 byendpointEnd=584 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[cold-4] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=45 loadHTMLStart=46 htmlFetchStart=46 htmlFetchEnd=84 loadHTMLString=93 navStart=657 navFinish=1442 jsReadyCheck=1450 initMessage=1526 | JS(from t0) fcp=1580 lcp=1647 lastImageEnd=2988 lastResourceEnd=2988 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=220 byendpointEnd=761 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943037
[cold-4] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=11 loadHTMLStart=11 htmlFetchStart=11 htmlFetchEnd=49 loadHTMLString=49 navStart=642 navFinish=1491 jsReadyCheck=1491 initMessage=1577 | JS(from t0) fcp=2459 lcp=2459 lastImageEnd=2566 lastResourceEnd=2566 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=1101 byendpointDur=266 byendpointEnd=837 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943037
ALL DONE
